,OperationStartTime,Difficulty,Host,Attendee 1,Attendee 2,Attendee 3,Enemy,Crashed missions,Kills1,Kills2,Kills3,Accur1,Accur2,Accur3,ShotsF1,ShotsF2,ShotsF3,ShotsH1,ShotsH2,ShotsH3,Deaths1,Deaths2,Deaths3,Stims1,Stims2,Stims3,Accid1,Accid2,Accid3,Samples1,Samples2,Samples3,DateOnly,TotalKills,AvgAccur,TotalShotsF,TotalShotsH,TotalDeaths,TotalStims,TotalAccid,TotalSamples
0,2024-12-13 08:30:00,8,Dalua,Bolide,Panzer,Scorpion,Illuminates,3.0,637.0,637.0,637.0,43.599999999999994,43.599999999999994,43.599999999999994,1112.0,1112.0,1112.0,485.0,485.0,485.0,4.0,4.0,4.0,80.0,80.0,80.0,1.0,1.0,1.0,11.0,11.0,11.0,2024-12-13,1911.0,43.599999999999994,3336.0,1455.0,12.0,240.0,3.0,33.0
1,2024-12-16 18:00:00,8,Seeker,Pengus,Bed,Wombat,Terminids,2.0,713.0,713.0,713.0,74.4,74.4,74.4,1314.0,1314.0,1314.0,979.0,979.0,979.0,21.0,21.0,21.0,11.0,11.0,11.0,1.0,1.0,1.0,4.0,4.0,4.0,2024-12-16,2139.0,74.4,3942.0,2937.0,63.0,33.0,3.0,12.0
2,2024-12-16 21:00:00,10,Pengus,Stella,Panini,Engel,Illuminates,,535.0,535.0,535.0,51.75,51.75,51.75,1327.0,1327.0,1327.0,706.0,706.0,706.0,37.0,37.0,37.0,19.0,19.0,19.0,0.0,0.0,0.0,38.0,38.0,38.0,2024-12-16,1605.0,51.75,3981.0,2118.0,111.0,57.0,0.0,114.0
3,2024-12-17 14:00:00,10,Sirio,Pengus,Sloth,Oracle,Illuminates,,516.0,516.0,516.0,67.35,67.35,67.35,672.0,672.0,672.0,452.0,452.0,452.0,1.0,1.0,1.0,5.0,5.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,2024-12-17,1548.0,67.35,2016.0,1356.0,3.0,15.0,3.0,0.0
4,2024-12-19 11:00:00,9,Dalua,Brother,Bolide,Photon,Automatons,,582.0,582.0,582.0,56.25,56.25,56.25,3.322,3.322,3.322,1940.0,1940.0,1940.0,5.0,5.0,5.0,24.0,24.0,24.0,2.0,2.0,2.0,2.0,2.0,2.0,2024-12-19,1746.0,56.25,9.966000000000001,5820.0,15.0,72.0,6.0,6.0
5,2024-12-19 22:00:00,10,Pengus,Yokai,Inky,Blahaj,Illuminates,,286.0,286.0,286.0,70.0,70.0,70.0,1066.0,1066.0,1066.0,709.0,709.0,709.0,0.0,0.0,0.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-12-19,858.0,70.0,3198.0,2127.0,0.0,21.0,0.0,0.0
6,2025-01-19 22:00:00,10,Pengus,Panini,Flyer,Bears,Automatons,,189.0,189.0,189.0,75.0,75.0,75.0,498.0,498.0,498.0,371.0,371.0,371.0,4.0,4.0,4.0,224.0,224.0,224.0,2.0,2.0,2.0,2.0,2.0,2.0,2025-01-19,567.0,75.0,1494.0,1113.0,12.0,672.0,6.0,6.0
